area_fips,own_code,industry_code,agglvl_code,size_code,year,qtr,disclosure_code,area_title,own_title,industry_title,agglvl_title,size_title,qtrly_estabs_count,month1_emplvl,month2_emplvl,month3_emplvl,total_qtrly_wages,taxable_qtrly_wages,qtrly_contributions,avg_wkly_wage,lq_disclosure_code,lq_qtrly_estabs_count,lq_month1_emplvl,lq_month2_emplvl,lq_month3_emplvl,lq_total_qtrly_wages,lq_taxable_qtrly_wages,lq_qtrly_contributions,lq_avg_wkly_wage,oty_disclosure_code,oty_qtrly_estabs_count_chg,oty_qtrly_estabs_count_pct_chg,oty_month1_emplvl_chg,oty_month1_emplvl_pct_chg,oty_month2_emplvl_chg,oty_month2_emplvl_pct_chg,oty_month3_emplvl_chg,oty_month3_emplvl_pct_chg,oty_total_qtrly_wages_chg,oty_total_qtrly_wages_pct_chg,oty_taxable_qtrly_wages_chg,oty_taxable_qtrly_wages_pct_chg,oty_qtrly_contributions_chg,oty_qtrly_contributions_pct_chg,oty_avg_wkly_wage_chg,oty_avg_wkly_wage_pct_chg
24033,1,722511,78,0,2017,2,,"Prince George's County, Maryland",Federal Government,NAICS 722511 Full-service restaurants,"County, NAICS 6-digit -- by ownership sector",All establishment sizes,1,25,23,22,103822,0,0,342,,5.24,3.92,3.6,3.48,2.85,0,0,0.78,,0,0,-5,-16.7,-7,-23.3,-5,-18.5,-19177,-15.6,0,0,0,0,16,4.9
24033,1,722511,78,0,2017,3,,"Prince George's County, Maryland",Federal Government,NAICS 722511 Full-service restaurants,"County, NAICS 6-digit -- by ownership sector",All establishment sizes,1,23,25,22,112770,0,0,372,,5.3,3.59,3.77,3.39,3.07,0,0,0.86,,0,0,-4,-14.8,-4,-13.8,-8,-26.7,-5673,-4.8,0,0,0,0,54,17
24033,1,722511,78,0,2017,4,,"Prince George's County, Maryland",Federal Government,NAICS 722511 Full-service restaurants,"County, NAICS 6-digit -- by ownership sector",All establishment sizes,1,23,24,25,94896,0,0,304,,5.3,3.57,3.69,3.86,2.66,0,0,0.72,,0,0,-5,-17.9,-2,-7.7,-2,-7.4,-17456,-15.5,0,0,0,0,-16,-5
24033,5,722511,78,0,2017,1,,"Prince George's County, Maryland",Private,NAICS 722511 Full-service restaurants,"County, NAICS 6-digit -- by ownership sector",All establishment sizes,324,8503,8632,8786,43475070,38466729,524863,387,,0.82,0.74,0.74,0.75,0.74,0.92,0.73,1,,3,0.9,153,1.8,79,0.9,37,0.4,3471500,8.7,3125016,8.8,8887,1.7,27,7.5
24033,5,722511,78,0,2017,2,,"Prince George's County, Maryland",Private,NAICS 722511 Full-service restaurants,"County, NAICS 6-digit -- by ownership sector",All establishment sizes,324,8808,8750,8806,46337334,23179984,330091,406,,0.81,0.73,0.72,0.72,0.69,1.08,1.02,0.96,,-1,-0.3,63,0.7,-53,-0.6,-22,-0.2,2447051,5.6,-566048,-2.4,-38379,-10.4,22,5.7
24033,5,722511,78,0,2017,3,,"Prince George's County, Maryland",Private,NAICS 722511 Full-service restaurants,"County, NAICS 6-digit -- by ownership sector",All establishment sizes,324,8582,8558,8571,44623144,13550560,198644,401,,0.81,0.7,0.7,0.72,0.66,0.82,0.79,0.94,,0,0,-140,-1.6,-67,-0.8,-71,-0.8,-148021,-0.3,-905307,-6.3,-29161,-12.8,3,0.8
24033,5,722511,78,0,2017,4,,"Prince George's County, Maryland",Private,NAICS 722511 Full-service restaurants,"County, NAICS 6-digit -- by ownership sector",All establishment sizes,325,8538,8540,8422,44929425,11591321,183254,407,,0.82,0.72,0.71,0.71,0.69,0.78,0.89,0.97,,-2,-0.6,-18,-0.2,-47,-0.5,-76,-0.9,1950440,4.5,688333,6.3,14482,8.6,20,5.2
51013,1,722511,78,0,2017,1,,"Arlington County, Virginia",Federal Government,NAICS 722511 Full-service restaurants,"County, NAICS 6-digit -- by ownership sector",All establishment sizes,2,66,62,67,440571,0,0,521,,17.99,18.68,17.15,18.97,14.5,0,0,0.79,,0,0,-8,-10.8,-9,-12.7,-2,-2.9,-72561,-14.1,0,0,0,0,-32,-5.8
51013,1,722511,78,0,2017,2,,"Arlington County, Virginia",Federal Government,NAICS 722511 Full-service restaurants,"County, NAICS 6-digit -- by ownership sector",All establishment sizes,2,69,69,66,576599,0,0,652,,18.33,19.68,19.62,18.67,18.99,0,0,0.98,,0,0,-7,-9.2,-5,-6.8,-6,-8.3,-21183,-3.5,0,0,0,0,31,5
51013,1,722511,78,0,2017,3,,"Arlington County, Virginia",Federal Government,NAICS 722511 Full-service restaurants,"County, NAICS 6-digit -- by ownership sector",All establishment sizes,2,68,67,67,499916,0,0,571,,18.42,18.89,18.12,18.67,16.03,0,0,0.86,,0,0,-4,-5.6,-5,-6.9,-1,-1.5,-20455,-3.9,0,0,0,0,5,0.9
51013,1,722511,78,0,2017,4,,"Arlington County, Virginia",Federal Government,NAICS 722511 Full-service restaurants,"County, NAICS 6-digit -- by ownership sector",All establishment sizes,2,69,67,66,580653,0,0,663,,18.47,19.42,18.78,18.37,19.21,0,0,1.02,,0,0,-3,-4.2,-6,-8.2,-6,-8.3,-51225,-8.1,0,0,0,0,-9,-1.3
51013,5,722511,78,0,2017,1,,"Arlington County, Virginia",Private,NAICS 722511 Full-service restaurants,"County, NAICS 6-digit -- by ownership sector",All establishment sizes,256,6646,6663,6742,41993459,34242264,228056,483,,1.13,1.04,1.03,1.03,0.76,1.33,0.71,0.74,,-13,-4.8,-420,-5.9,-388,-5.5,-267,-3.8,2540766,6.4,535260,1.6,-21877,-8.8,52,12.1
51013,5,722511,78,0,2017,2,,"Arlington County, Virginia",Private,NAICS 722511 Full-service restaurants,"County, NAICS 6-digit -- by ownership sector",All establishment sizes,257,6761,6892,7098,44071466,16871292,122610,490,,1.12,1.02,1.02,1.03,0.79,2.13,1.36,0.77,,-15,-5.5,-444,-6.2,-277,-3.9,-199,-2.7,1142308,2.7,-2331174,-12.1,-32022,-20.7,33,7.2
51013,5,722511,78,0,2017,3,,"Arlington County, Virginia",Private,NAICS 722511 Full-service restaurants,"County, NAICS 6-digit -- by ownership sector",All establishment sizes,256,7050,7032,6885,44240930,10685101,90431,487,,1.12,1.02,1.03,1.04,0.77,1.48,1,0.75,,-9,-3.4,-285,-3.9,-194,-2.7,-223,-3.1,-1110920,-2.4,-1142453,-9.7,-28298,-23.8,4,0.8
51013,5,722511,78,0,2017,4,,"Arlington County, Virginia",Private,NAICS 722511 Full-service restaurants,"County, NAICS 6-digit -- by ownership sector",All establishment sizes,257,6974,6885,6888,44434128,8902233,85698,494,,1.12,1.07,1.05,1.05,0.81,1.58,1.2,0.77,,-5,-1.9,-149,-2.1,-73,-1,-70,-1,509291,1.2,-731857,-7.6,-19884,-18.8,12,2.5
51059,1,722511,78,0,2017,1,,"Fairfax County, Virginia",Federal Government,NAICS 722511 Full-service restaurants,"County, NAICS 6-digit -- by ownership sector",All establishment sizes,1,60,62,58,325428,0,0,417,,2.23,4.96,5.01,4.81,3.31,0,0,0.67,,0,0,-1,-1.6,6,10.7,0,0,13664,4.4,0,0,0,0,6,1.5
51059,1,722511,78,0,2017,2,,"Fairfax County, Virginia",Federal Government,NAICS 722511 Full-service restaurants,"County, NAICS 6-digit -- by ownership sector",All establishment sizes,1,63,63,61,449672,0,0,555,,2.28,5.3,5.29,5.07,4.55,0,0,0.87,,0,0,-1,-1.6,-1,-1.6,1,1.7,14384,3.3,0,0,0,0,21,3.9
51059,1,722511,78,0,2017,3,,"Fairfax County, Virginia",Federal Government,NAICS 722511 Full-service restaurants,"County, NAICS 6-digit -- by ownership sector",All establishment sizes,1,56,61,57,364494,0,0,483,,2.29,4.6,4.97,4.64,3.7,0,0,0.78,,0,0,-15,-21.1,0,0,-1,-1.7,-11461,-3,0,0,0,0,26,5.7
51059,1,722511,78,0,2017,4,,"Fairfax County, Virginia",Federal Government,NAICS 722511 Full-service restaurants,"County, NAICS 6-digit -- by ownership sector",All establishment sizes,1,66,63,68,483156,0,0,566,,2.29,5.4,5.14,5.52,4.88,0,0,0.91,,0,0,7,11.9,6,10.5,3,4.6,51086,11.8,0,0,0,0,15,2.7
51059,5,722511,78,0,2017,1,,"Fairfax County, Virginia",Private,NAICS 722511 Full-service restaurants,"County, NAICS 6-digit -- by ownership sector",All establishment sizes,813,20146,20153,20238,119795109,101057880,427771,457,,0.89,0.92,0.92,0.91,0.67,1.01,0.35,0.74,,14,1.8,-15,-0.1,-70,-0.3,-157,-0.8,7808483,7,4760987,4.9,-203929,-32.3,32,7.5
51059,5,722511,78,0,2017,2,,"Fairfax County, Virginia",Private,NAICS 722511 Full-service restaurants,"County, NAICS 6-digit -- by ownership sector",All establishment sizes,816,20152,20420,20647,123684274,48736372,244142,466,,0.88,0.9,0.89,0.88,0.68,1.53,0.68,0.76,,6,0.7,-202,-1,-268,-1.3,-254,-1.2,4503670,3.8,-2438394,-4.8,-121559,-33.2,22,5
51059,5,722511,78,0,2017,3,,"Fairfax County, Virginia",Private,NAICS 722511 Full-service restaurants,"County, NAICS 6-digit -- by ownership sector",All establishment sizes,821,20548,20301,19721,120895420,29162951,160473,461,,0.89,0.88,0.89,0.87,0.67,1.07,0.47,0.76,,21,2.6,-228,-1.1,-273,-1.3,-544,-2.7,-3830751,-3.1,-2403999,-7.6,-100611,-38.5,-6,-1.3
51059,5,722511,78,0,2017,4,,"Fairfax County, Virginia",Private,NAICS 722511 Full-service restaurants,"County, NAICS 6-digit -- by ownership sector",All establishment sizes,820,19633,19602,19866,125533884,23803560,157239,490,,0.89,0.87,0.87,0.88,0.7,1.05,0.55,0.8,,17,2.1,-709,-3.5,-833,-4.1,-524,-2.6,2350930,1.9,-1316827,-5.2,-61556,-28.1,25,5.4
51510,5,722511,78,0,2017,1,,"Alexandria City, Virginia",Private,NAICS 722511 Full-service restaurants,"County, NAICS 6-digit -- by ownership sector",All establishment sizes,159,4463,4488,4592,28092610,23027968,115602,479,,1,1.29,1.29,1.31,1.2,1.76,0.8,0.92,,1,0.6,108,2.5,141,3.2,190,4.3,3220410,12.9,2105637,10.1,-7133,-5.8,41,9.4
51510,5,722511,78,0,2017,2,,"Alexandria City, Virginia",Private,NAICS 722511 Full-service restaurants,"County, NAICS 6-digit -- by ownership sector",All establishment sizes,156,4704,4810,4884,30351459,11341392,66234,486,,0.98,1.34,1.35,1.34,1.19,2.37,1.31,0.88,,-2,-1.3,63,1.4,100,2.1,129,2.7,738474,2.5,-942264,-7.7,-24466,-27,2,0.4
51510,5,722511,78,0,2017,3,,"Alexandria City, Virginia",Private,NAICS 722511 Full-service restaurants,"County, NAICS 6-digit -- by ownership sector",All establishment sizes,158,4697,4656,4649,29780664,6941561,43499,491,,1,1.29,1.29,1.34,1.13,1.92,1.08,0.86,,1,0.6,-34,-0.7,-124,-2.6,72,1.6,-729503,-2.4,-678681,-8.9,-24762,-36.3,-9,-1.8
51510,5,722511,78,0,2017,4,,"Alexandria City, Virginia",Private,NAICS 722511 Full-service restaurants,"County, NAICS 6-digit -- by ownership sector",All establishment sizes,158,4617,4700,4683,29634575,5515218,33141,488,,1,1.33,1.36,1.35,1.15,1.81,0.95,0.85,,3,1.9,12,0.3,190,4.2,199,4.4,864722,3,-226162,-3.9,-21682,-39.5,0,0
11001,1,722511,78,0,2018,1,,District of Columbia,Federal Government,NAICS 722511 Full-service restaurants,"County, NAICS 6-digit -- by ownership sector",All establishment sizes,1,420,418,418,2156800,0,0,396,,2.17,28.67,27.42,27.77,16.53,0,0,0.59,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11001,1,722511,78,0,2018,2,,District of Columbia,Federal Government,NAICS 722511 Full-service restaurants,"County, NAICS 6-digit -- by ownership sector",All establishment sizes,1,420,418,418,2156800,0,0,396,,2.2,27.6,27.35,27.26,15.99,0,0,0.58,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11001,1,722511,78,0,2018,3,,District of Columbia,Federal Government,NAICS 722511 Full-service restaurants,"County, NAICS 6-digit -- by ownership sector",All establishment sizes,1,420,418,418,2156800,0,0,396,,2.16,27.19,27.07,26.92,15.27,0,0,0.56,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11001,1,722511,78,0,2018,4,,District of Columbia,Federal Government,NAICS 722511 Full-service restaurants,"County, NAICS 6-digit -- by ownership sector",All establishment sizes,1,420,418,418,2156800,0,0,396,,2.17,27.45,27.39,27.6,15.36,0,0,0.56,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11001,5,722511,78,0,2018,1,,District of Columbia,Private,NAICS 722511 Full-service restaurants,"County, NAICS 6-digit -- by ownership sector",All establishment sizes,943,27788,28214,28793,208109717,169740057,3426003,566,,0.97,0.99,1,1,0.83,1.68,2.06,0.83,,49,5.5,1366,5.2,1383,5.2,1488,5.4,13359297,6.9,9252481,5.8,151466,4.6,8,1.4
11001,5,722511,78,0,2018,2,,District of Columbia,Private,NAICS 722511 Full-service restaurants,"County, NAICS 6-digit -- by ownership sector",All establishment sizes,960,29380,30049,30249,236870781,86730500,1805688,610,,0.99,1.02,1.03,1.02,0.91,2.4,2.51,0.89,,75,8.5,1144,4.1,1250,4.3,1276,4.4,20210194,9.3,4461991,5.4,80188,4.6,29,5
11001,5,722511,78,0,2018,3,,District of Columbia,Private,NAICS 722511 Full-service restaurants,"County, NAICS 6-digit -- by ownership sector",All establishment sizes,977,30154,29804,29603,225448626,53258404,1155818,581,,0.99,1.01,1.02,1.03,0.82,1.75,1.86,0.8,,58,6.3,1234,4.3,1273,4.5,853,3,18530914,9,5387327,11.3,118996,11.5,27,4.9
11001,5,722511,78,0,2018,4,,District of Columbia,Private,NAICS 722511 Full-service restaurants,"County, NAICS 6-digit -- by ownership sector",All establishment sizes,977,29960,29762,29397,240002093,47029824,1045123,621,,0.99,1.05,1.05,1.03,0.88,1.8,2.06,0.85,,29,3.1,783,2.7,685,2.4,597,2.1,16951446,7.6,1427545,3.1,27404,2.7,30,5.1
24031,5,722511,78,0,2018,1,,"Montgomery County, Maryland",Private,NAICS 722511 Full-service restaurants,"County, NAICS 6-digit -- by ownership sector",All establishment sizes,624,14349,14201,14274,86093466,74207759,661940,464,,0.76,0.83,0.82,0.82,0.68,1.06,0.74,0.82,,4,0.6,-258,-1.8,-264,-1.8,-374,-2.6,2133232,2.5,1208490,1.7,-16476,-2.4,21,4.7
24031,5,722511,78,0,2018,2,,"Montgomery County, Maryland",Private,NAICS 722511 Full-service restaurants,"County, NAICS 6-digit -- by ownership sector",All establishment sizes,615,14406,14855,15097,91184148,38204914,367846,474,,0.75,0.82,0.83,0.83,0.71,1.45,1.04,0.86,,-10,-1.6,-406,-2.7,-203,-1.3,-122,-0.8,1741109,1.9,-660679,-1.7,-24877,-6.3,16,3.5
24031,5,722511,78,0,2018,3,,"Montgomery County, Maryland",Private,NAICS 722511 Full-service restaurants,"County, NAICS 6-digit -- by ownership sector",All establishment sizes,631,15050,15096,14681,92345126,24650166,264495,475,,0.77,0.84,0.86,0.83,0.74,1.21,0.91,0.88,,2,0.3,-49,-0.3,85,0.6,115,0.8,4889910,5.6,1766454,7.7,10708,4.2,23,5.1
24031,5,722511,78,0,2018,4,,"Montgomery County, Maryland",Private,NAICS 722511 Full-service restaurants,"County, NAICS 6-digit -- by ownership sector",All establishment sizes,627,14535,14574,14746,92573928,19289039,219766,487,,0.77,0.83,0.84,0.85,0.72,1.14,0.93,0.86,,-3,-0.5,113,0.8,81,0.6,150,1,3179658,3.6,31366,0.2,-17807,-7.5,13,2.7
24033,1,722511,78,0,2018,1,,"Prince George's County, Maryland",Federal Government,NAICS 722511 Full-service restaurants,"County, NAICS 6-digit -- by ownership sector",All establishment sizes,1,26,27,25,106509,0,0,315,,5.28,4.29,4.28,4.07,3.41,0,0,0.81,,0,0,1,4,2,8,1,4.2,4930,4.9,0,0,0,0,-2,-0.6
24033,1,722511,78,0,2018,2,,"Prince George's County, Maryland",Federal Government,NAICS 722511 Full-service restaurants,"County, NAICS 6-digit -- by ownership sector",All establishment sizes,1,25,25,25,99508,0,0,306,,5.32,3.96,3.94,3.95,2.74,0,0,0.69,,0,0,0,0,2,8.7,3,13.6,-4314,-4.2,0,0,0,0,-36,-10.5
24033,1,722511,78,0,2018,3,,"Prince George's County, Maryland",Federal Government,NAICS 722511 Full-service restaurants,"County, NAICS 6-digit -- by ownership sector",All establishment sizes,1,23,27,24,111403,0,0,347,,5.34,3.58,4.16,3.73,3.12,0,0,0.81,,0,0,0,0,2,8,2,9.1,-1367,-1.2,0,0,0,0,-25,-6.7
24033,1,722511,78,0,2018,4,,"Prince George's County, Maryland",Federal Government,NAICS 722511 Full-service restaurants,"County, NAICS 6-digit -- by ownership sector",All establishment sizes,1,25,24,25,93424,0,0,291,,5.34,3.94,3.75,3.94,2.68,0,0,0.69,,0,0,2,8.7,0,0,0,0,-1472,-1.6,0,0,0,0,-13,-4.3
24033,5,722511,78,0,2018,1,,"Prince George's County, Maryland",Private,NAICS 722511 Full-service restaurants,"County, NAICS 6-digit -- by ownership sector",All establishment sizes,319,8207,8289,8468,44088161,38882594,457519,408,,0.8,0.71,0.71,0.72,0.73,0.91,0.73,1.03,,-5,-1.5,-296,-3.5,-343,-4,-318,-3.6,613091,1.4,415865,1.1,-67344,-12.8,21,5.4
24033,5,722511,78,0,2018,2,,"Prince George's County, Maryland",Private,NAICS 722511 Full-service restaurants,"County, NAICS 6-digit -- by ownership sector",All establishment sizes,320,8488,8615,8560,46744964,22781242,289691,420,,0.8,0.71,0.71,0.7,0.67,1.09,1.04,0.95,,-4,-1.2,-320,-3.6,-135,-1.5,-246,-2.8,407630,0.9,-398742,-1.7,-40400,-12.2,14,3.4
24033,5,722511,78,0,2018,3,,"Prince George's County, Maryland",Private,NAICS 722511 Full-service restaurants,"County, NAICS 6-digit -- by ownership sector",All establishment sizes,323,8544,8641,8375,46872540,13545641,178539,423,,0.81,0.69,0.7,0.7,0.67,0.85,0.81,0.96,,-1,-0.3,-38,-0.4,83,1,-196,-2.3,2249396,5,-4919,0,-20105,-10.1,22,5.5
24033,5,722511,78,0,2018,4,,"Prince George's County, Maryland",Private,NAICS 722511 Full-service restaurants,"County, NAICS 6-digit -- by ownership sector",All establishment sizes,326,8036,7993,8002,45378764,10151342,130225,436,,0.81,0.68,0.67,0.67,0.67,0.7,0.73,1,,1,0.3,-502,-5.9,-547,-6.4,-420,-5,449339,1,-1439979,-12.4,-53029,-28.9,29,7.1
51013,1,722511,78,0,2018,1,,"Arlington County, Virginia",Federal Government,NAICS 722511 Full-service restaurants,"County, NAICS 6-digit -- by ownership sector",All establishment sizes,2,63,65,64,418965,0,0,504,,18.55,18.65,18.58,18.6,13.95,0,0,0.75,,0,0,-3,-4.5,3,4.8,-3,-4.5,-21606,-4.9,0,0,0,0,-17,-3.3
51013,1,722511,78,0,2018,2,,"Arlington County, Virginia",Federal Government,NAICS 722511 Full-service restaurants,"County, NAICS 6-digit -- by ownership sector",All establishment sizes,2,64,57,57,476025,0,0,617,,18.83,18.3,16.17,16.02,15.84,0,0,0.94,,0,0,-5,-7.2,-12,-17.4,-9,-13.6,-100574,-17.4,0,0,0,0,-35,-5.4
51013,1,722511,78,0,2018,3,,"Arlington County, Virginia",Federal Government,NAICS 722511 Full-service restaurants,"County, NAICS 6-digit -- by ownership sector",All establishment sizes,2,55,54,60,393104,0,0,537,,18.74,15.37,15.01,16.76,12.81,0,0,0.82,,0,0,-13,-19.1,-13,-19.4,-7,-10.4,-106812,-21.4,0,0,0,0,-34,-6
51013,1,722511,78,0,2018,4,,"Arlington County, Virginia",Federal Government,NAICS 722511 Full-service restaurants,"County, NAICS 6-digit -- by ownership sector",All establishment sizes,2,54,59,54,446011,0,0,616,,18.88,15.33,16.71,15.37,14.27,0,0,0.9,,0,0,-15,-21.7,-8,-11.9,-12,-18.2,-134642,-23.2,0,0,0,0,-47,-7.1
51013,5,722511,78,0,2018,1,,"Arlington County, Virginia",Private,NAICS 722511 Full-service restaurants,"County, NAICS 6-digit -- by ownership sector",All establishment sizes,252,6698,6699,6718,43710752,34784690,196723,501,,1.11,1.03,1.03,1.03,0.76,1.32,0.67,0.73,,-4,-1.6,52,0.8,36,0.5,-24,-0.4,1717293,4.1,542426,1.6,-31333,-13.7,18,3.7
51013,5,722511,78,0,2018,2,,"Arlington County, Virginia",Private,NAICS 722511 Full-service restaurants,"County, NAICS 6-digit -- by ownership sector",All establishment sizes,250,6830,6928,7031,46774892,16735082,104749,519,,1.11,1.03,1.03,1.03,0.81,2.11,1.41,0.79,,-7,-2.7,69,1,36,0.5,-67,-0.9,2703426,6.1,-136210,-0.8,-17861,-14.6,29,5.9
51013,5,722511,78,0,2018,3,,"Arlington County, Virginia",Private,NAICS 722511 Full-service restaurants,"County, NAICS 6-digit -- by ownership sector",All establishment sizes,250,6871,6845,6731,45237937,9669973,62206,511,,1.1,1,1,1.02,0.75,1.42,0.88,0.75,,-6,-2.3,-179,-2.5,-187,-2.7,-154,-2.2,997007,2.3,-1015128,-9.5,-28225,-31.2,24,4.9
51013,5,722511,78,0,2018,4,,"Arlington County, Virginia",Private,NAICS 722511 Full-service restaurants,"County, NAICS 6-digit -- by ownership sector",All establishment sizes,248,6652,6641,6490,45287455,8298652,65003,528,,1.09,1.01,1.01,0.98,0.75,1.46,1.11,0.75,,-9,-3.5,-322,-4.6,-244,-3.5,-398,-5.8,853327,1.9,-603581,-6.8,-20695,-24.1,34,6.9
51059,1,722511,78,0,2018,1,,"Fairfax County, Virginia",Federal Government,NAICS 722511 Full-service restaurants,"County, NAICS 6-digit -- by ownership sector",All establishment sizes,1,64,62,67,405597,0,0,485,,2.29,5.52,5.16,5.67,4.2,0,0,0.77,,0,0,4,6.7,0,0,9,15.5,80169,24.6,0,0,0,0,68,16.3
